#Gene	Transcript	Source
OR10P1	NM_206899.1	MANE
OR10Q1	NM_001004471.2	MANE
OR10R2	NM_001395749.1	MANE
OR10S1	NM_001004474.2	MANE
OR10T2	NM_001004475.1	MANE
OR10V1	NM_001005324.1	MANE
OR10W1	NM_207374.3	MANE
OR10X1	NM_001004477.1	MANE
OR10Z1	NM_001004478.2	MANE
OR11A1	NM_001394828.1	MANE
OR11G2	NM_001386033.1	MANE
OR11H1	NM_001005239.2	MANE
OR11H12	NM_001013354.1	MANE
OR11H2	NM_001197287.2	MANE
OR11H4	NM_001004479.2	MANE
OR11H6	NM_001004480.1	MANE
OR11H7	NM_001348273	HGNC
OR11L1	NM_001001959.1	MANE
OR12D1	NM_001348208	HGNC
OR12D2	NM_013936.4	MANE
OR12D3	NM_030959.3	MANE
OR13A1	NM_001004297.3	MANE
OR13C2	NM_001004481.1	MANE
OR13C3	NM_001001961.3	MANE
OR13C4	NM_001001919.1	MANE
OR13C5	NM_001004482.1	MANE
OR13C7	NG_002408	HGNC
OR13C8	NM_001004483.1	MANE
OR13C9	NM_001001956.1	MANE
OR13D1	NM_001004484.2	MANE
OR13F1	NM_001004485.1	MANE
OR13G1	NM_001005487.2	MANE
OR13H1	NM_001004486.1	MANE
OR13J1	NM_001004487.1	MANE
OR14A16	NM_001001966.2	MANE
OR14A2	NM_001355292	HGNC
OR14C36	NM_001001918.1	MANE
OR14I1	NM_001004734	HGNC
OR14J1	NM_030946.2	MANE
OR14K1	NM_001004732.2	MANE
OR14L1P	NM_001396106.1	MANE
OR1A1	NM_014565.3	MANE
OR1A2	NM_012352.3	MANE
OR1B1	NM_001004450.2	HGMD
OR1C1	NM_012353.3	MANE
OR1D2	NM_002548.3	MANE
OR1D4	NM_003552	HGNC
OR1D5	NM_014566.1	MANE
OR1E1	NM_003553.3	MANE
OR1E2	NM_003554.2	MANE
OR1E3	NG_002151	HGNC
OR1F1	NM_001370639	HGNC
OR1G1	NM_003555.1	MANE
OR1I1	NM_001004713.2	MANE
OR1J1	NM_001004451.1	MANE
OR1J2	NM_054107.1	MANE
OR1J4	NM_001004452.1	MANE
OR1K1	NM_080859.1	MANE
OR1L1	NM_001005236.3	MANE
OR1L3	NM_001005234.1	MANE
OR1L4	NM_001005235.1	MANE
OR1L6	NM_001004453.3	MANE
OR1L8	NM_001004454.2	MANE
OR1M1	NM_001004456.2	MANE
OR1N1	NM_012363.1	MANE
OR1N2	NM_001004457.2	MANE
OR1P1	NG_002153	HGNC
OR1Q1	NM_012364.1	MANE
OR1R1P	NM_001396056.1	MANE
OR1S1	NM_001004458.2	HGMD
OR1S2	NM_001004459.2	MANE
OR2A1	NM_001005287.2	MANE
OR2A12	NM_001004135.2	MANE
OR2A14	NM_001001659.3	MANE
OR2A2	NM_001005480.2	MANE
OR2A25	NM_001386096.1	MANE
OR2A4	NM_030908.2	MANE
OR2A42	NM_001001802.3	MANE
OR2A5	NM_012365.2	MANE
OR2A7	NM_001005328.2	MANE
OR2AE1	NM_001005276.1	MANE
OR2AG1	NM_001004489.3	MANE
OR2AG2	NM_001004490.2	MANE
OR2AJ1	NM_001355235.2	MANE
OR2AK2	NM_001004491.2	MANE
OR2AP1	NM_001258285.2	MANE
OR2AT4	NM_001005285	HGNC
OR2B11	NM_001004492.2	MANE
OR2B2	NM_033057.2	MANE
OR2B3	NM_001005226.2	MANE
OR2B6	NM_012367.1	MANE
OR2C1	NM_012368.3	MANE
OR2C3	NM_198074.6	MANE
OR2D2	NM_003700.1	MANE
OR2D3	NM_001004684.1	MANE
OR2F1	NM_012369.3	MANE
OR2F2	NM_001004685.1	MANE
OR2G2	NM_001001915.1	MANE
OR2G3	NM_001001914.1	MANE
OR2G6	NM_001013355.2	MANE
OR2H1	NM_030883.5	MANE
OR2H2	NM_007160.4	MANE
OR2I1P	NM_001396058.1	MANE
OR2J1	NM_001348294.2	MANE
OR2J2	NM_030905.3	MANE
OR2J3	NM_001005216.4	MANE
OR2K2	NM_205859.2	MANE
OR2L13	NM_001395936.1	MANE
OR2L2	NM_001385855.1	MANE
OR2L3	NM_001004687.2	MANE
OR2L5	NM_001258284.2	MANE
OR2L8	NM_001001963.1	MANE
OR2M2	NM_001004688.2	MANE
OR2M3	NM_001004689.2	MANE
OR2M4	NM_017504.2	MANE
OR2M5	NM_001004690.1	MANE
OR2M7	NM_001004691.1	MANE
OR2S2	NM_019897.2	MANE
OR2T1	NM_030904.2	MANE
OR2T10	NM_001004693.2	MANE
OR2T11	NM_001001964.2	MANE
OR2T12	NM_001004692.2	MANE
OR2T2	NM_001004136.2	MANE
OR2T27	NM_001001824.2	MANE
OR2T29	NM_001004694.3	MANE
OR2T3	NM_001005495.1	MANE
OR2T33	NM_001004695.2	MANE
OR2T34	NM_001001821.1	MANE
OR2T35	NM_001001827.2	MANE
OR2T4	NM_001004696.2	MANE
OR2T5	NM_001004697.2	MANE
OR2T6	NM_001005471.2	MANE
OR2T7	NM_001386052	HGNC
OR2T8	NM_001005522.2	MANE
OR2V1	NM_001258283.2	MANE
OR2V2	NM_206880.2	MANE
OR2W1	NM_030903.3	MANE
OR2W3	NM_001001957.2	MANE
OR2Y1	NM_001001657.1	MANE
OR2Z1	NM_001004699.3	MANE
OR3A1	NM_002550.3	MANE
OR3A2	NM_002551	HGNC
OR3A3	NM_001386098	HGNC
OR4A15	NM_001005275.2	MANE
OR4A16	NM_001005274.1	MANE
OR4A47	NM_001005512.2	MANE
OR4A5	NM_001005272.3	MANE
OR4A8	NG_004235	HGNC
OR4B1	NM_001005470.1	MANE
OR4C11	NM_001004700.3	MANE
OR4C12	NM_001005270.4	MANE
OR4C13	NM_001001955.2	MANE
OR4C15	NM_001001920.3	MANE
OR4C16	NM_001004701.2	MANE
OR4C3	NM_001004702.2	MANE
OR4C45	NM_001005513	HGNC
OR4C46	NM_001004703.1	MANE
OR4C5	NM_001348223.2	MANE
OR4C6	NM_001004704.2	MANE
OR4D1	NM_001386095.1	MANE
OR4D10	NM_001004705.2	MANE
OR4D11	NM_001004706.1	MANE
OR4D2	NM_001004707.4	MANE
OR4D5	NM_001001965.1	MANE
OR4D6	NM_001004708.1	MANE
OR4D9	NM_001004711.2	MANE
OR4E1	NM_001317107.2	MANE
OR4E2	NM_001001912.3	MANE
OR4F15	NM_001001674.2	MANE
OR4F16	NM_001005277.1	MANE
OR4F17	NM_001005240.3	MANE
OR4F21	NM_001005504.1	MANE
OR4F29	NM_001005221.2	MANE
OR4F3	NM_001005224	HGNC
OR4F4	NM_001004195	HGNC
OR4F5	NM_001005484.2	MANE
OR4F6	NM_001005326.2	MANE
OR4K1	NM_001004063.3	MANE
OR4K13	NM_001004714.2	MANE
OR4K14	NM_001004712.2	MANE
OR4K15	NM_001005486.2	MANE
OR4K17	NM_001004715.5	MANE
OR4K2	NM_001005501.2	MANE
OR4K3	NR_145507	HGNC
OR4K5	NM_001005483.1	MANE
OR4L1	NM_001004717.1	MANE
OR4M1	NM_001005500.2	MANE
OR4M2	NM_001004719.2	MANE
OR4M2B	NM_001395296.1	MANE
OR4N2	NM_001004723.3	MANE
OR4N4	NM_001005241.4	MANE
OR4N4C	NM_001365389.2	MANE
OR4N5	NM_001004724.2	MANE
OR4P4	NM_001004124	HGNC
OR4Q2	NM_001348271	HGNC
OR4Q3	NM_172194.1	HGMD
OR4S1	NM_001004725.1	MANE
OR4S2	NM_001004059.3	MANE
OR4X1	NM_001004726.1	MANE
OR4X2	NM_001004727.1	MANE
OR51A2	NM_001004748.1	MANE
OR51A4	NM_001005329.2	MANE
OR51A7	NM_001004749.2	MANE
OR51B2	NM_033180.5	MANE
OR51B4	NM_033179.2	MANE
OR51B5	NM_001395252.1	MANE
OR51B6	NM_001004750.1	MANE
OR51C1P	NM_001396051.1	MANE
OR51D1	NM_001004751.3	MANE
OR51E1	NM_152430.4	MANE
OR51E2	NM_030774.4	MANE
OR51F1	NM_001004752.2	MANE
OR51F2	NM_001004753.2	MANE
OR51G1	NM_001005237.1	MANE
OR51G2	NM_001005238.2	MANE
OR51H1	NR_171273	HGNC
OR51I1	NM_001005288.3	MANE
OR51I2	NM_001004754.3	MANE
OR51J1	NM_001348224	HGNC
OR51L1	NM_001004755.2	MANE
OR51M1	NM_001004756.3	MANE
OR51Q1	NM_001004757.2	MANE
OR51S1	NM_001004758.1	MANE
OR51T1	NM_001004759.3	MANE
OR51V1	NM_001004760.3	MANE
OR52A1	NM_012375.3	MANE
OR52A5	NM_001005160.3	MANE
OR52B2	NM_001004052.1	MANE
OR52B4	NM_001005161.3	MANE
OR52B6	NM_001005162.2	MANE
OR52D1	NM_001005163.2	MANE
OR52E1	NM_001348221	HGNC
OR52E2	NM_001005164.2	MANE
OR52E4	NM_001005165.2	MANE
OR52E5	NM_001005166.5	MANE
OR52E6	NM_001005167.2	MANE
OR52E8	NM_001005168.3	MANE
OR52H1	NM_001005289.5	MANE
OR52I1	NM_001005169.1	MANE
OR52I2	NM_001005170	HGNC
OR52J3	NM_001001916.2	MANE
OR52K1	NM_001005171.3	MANE
OR52K2	NM_001005172.2	MANE
OR52L1	NM_001005173.3	MANE
OR52M1	NM_001004137.1	MANE
OR52N1	NM_001001913.2	MANE
OR52N2	NM_001005174.3	MANE
OR52N4	NM_001005175.5	MANE
OR52N5	NM_001385662.1	MANE
OR52P1	NR_172915	HGNC
OR52R1	NM_001005177.3	MANE
OR52W1	NM_001005178.1	MANE
OR56A1	NM_001388488.1	MANE
OR56A3	NM_001003443.3	MANE
OR56A4	NM_001005179.4	MANE
OR56A5	NM_001146033.1	MANE
OR56B1	NM_001005180.3	MANE
OR56B2P	NM_001396057.1	MANE
OR56B4	NM_001005181.2	MANE
OR5A1	NM_001004728.2	MANE
OR5A2	NM_001001954.2	MANE
OR5AC1	NG_004267	HGNC
OR5AC2	NM_054106.1	MANE
OR5AK2	NM_001005323.1	MANE
OR5AL1	NM_001348230	HGNC
OR5AN1	NM_001004729.2	MANE
OR5AP2	NM_001002925.1	MANE
OR5AR1	NM_001004730.1	MANE
OR5AS1	NM_001001921.2	MANE
OR5AU1	NM_001004731.3	MANE
OR5B12	NM_001004733.3	MANE
OR5B17	NM_001005489.2	MANE
OR5B2	NM_001005566.3	MANE
OR5B21	NM_001005218.3	MANE
OR5B3	NM_001005469.2	MANE
OR5BS1P	NM_001396061.1	MANE
OR5C1	NM_001001923.1	MANE
OR5D13	NM_001001967.1	MANE
OR5D14	NM_001004735.1	MANE
OR5D16	NM_001005496.1	MANE
OR5D18	NM_001001952.1	MANE
OR5D3P	NM_001396059.1	MANE
OR5F1	NM_003697.1	MANE
OR5G3	NG_002406	HGNC
OR5H1	NM_001005338.2	MANE
OR5H14	NM_001005514.2	MANE
OR5H15	NM_001005515.2	MANE
OR5H2	NM_001005482.2	MANE
OR5H6	NM_001005479.2	MANE
OR5H8	NG_002227	HGNC
OR5I1	NM_006637.1	MANE
OR5J2	NM_001005492.1	MANE
OR5K1	NM_001004736.4	MANE
OR5K2	NM_001004737.1	MANE
OR5K3	NM_001005516.1	MANE
OR5K4	NM_001005517.1	MANE
OR5L1	NM_001004738.2	MANE
OR5L2	NM_001004739.1	MANE
OR5M1	NM_001004740.2	MANE
OR5M10	NM_001004741.1	MANE
OR5M11	NM_001005245.1	MANE
OR5M3	NM_001004742.3	MANE
OR5M8	NM_001005282.1	MANE
OR5M9	NM_001004743.1	MANE
OR5P2	NM_153444.1	MANE
OR5P3	NM_153445.2	MANE
OR5T1	NM_001004745.2	MANE
OR5T2	NM_001004746.4	MANE
OR5T3	NM_001004747.2	MANE
OR5V1	NM_030876.6	MANE
OR5W2	NM_001001960.1	MANE
OR6A2	NM_003696.3	MANE
OR6B1	NM_001005281.3	MANE
OR6B2	NM_001005853.1	MANE
OR6B3	NM_173351	HGNC
OR6C1	NM_001005182.2	MANE
OR6C2	NM_054105.2	MANE
OR6C3	NM_001388498.1	MANE
OR6C4	NM_001005494.2	MANE
OR6C6	NM_001005493.2	MANE
OR6C65	NM_001005518.1	MANE
OR6C68	NM_001005519.2	MANE
OR6C70	NM_001005499.1	MANE
OR6C74	NM_001005490.2	MANE
OR6C75	NM_001005497.2	MANE
OR6C76	NM_001005183.1	MANE
OR6F1	NM_001005286.2	MANE
OR6J1	NM_001348233.2	MANE
OR6K2	NM_001005279.3	MANE
OR6K3	NM_001005327.3	MANE
OR6K6	NM_001005184.2	MANE
OR6M1	NM_001005325.1	MANE
OR6N1	NM_001005185.2	MANE
OR6N2	NM_001005278.2	MANE
OR6P1	NM_001160325.2	MANE
OR6Q1	NM_001005186.2	MANE
OR6S1	NM_001001968.1	MANE
OR6T1	NM_001005187.1	MANE
OR6V1	NM_001001667.1	MANE
OR6X1	NM_001005188.1	MANE
OR6Y1	NM_001005189.2	MANE
OR7A10	NM_001005190.2	MANE
OR7A17	NM_030901.2	MANE
OR7A5	NM_017506.2	MANE
OR7C1	NM_001370485.4	MANE
OR7C2	NM_012377.1	MANE
OR7D2	NM_175883.4	MANE
OR7D4	NM_001005191.3	MANE
OR7E24	NM_001079935.2	MANE
OR7G1	NM_001005192.2	MANE
OR7G2	NM_001005193.2	MANE
OR7G3	NM_001001958.1	MANE
OR8A1	NM_001005194.2	MANE
OR8B12	NM_001005195.1	MANE
OR8B2	NM_001005468.2	MANE
OR8B3	NM_001005467.2	MANE
OR8B4	NM_001005196.1	MANE
OR8B8	NM_012378.2	MANE
OR8D1	NM_001002917.2	MANE
OR8D2	NM_001002918.1	MANE
OR8D4	NM_001005197.2	MANE
OR8G1	NM_001002905.2	MANE
OR8G5	NM_001005198.2	MANE
OR8H1	NM_001005199.2	MANE
OR8H2	NM_001386064.1	MANE
OR8H3	NM_001005201.1	MANE
OR8I2	NM_001003750.1	MANE
OR8J1	NM_001005205.3	MANE
OR8J2	NR_173147	HGNC
OR8J3	NM_001004064.2	MANE
OR8K1	NM_001002907.1	MANE
OR8K3	NM_001005202.2	MANE
OR8K5	NM_001004058.2	MANE
OR8S1	NM_001390849.1	MANE
OR8U1	NM_001005204.1	MANE
OR8U3	NM_001004744.1	MANE
OR9A2	NM_001001658.1	MANE
OR9A4	NM_001001656.3	MANE
OR9G1	NM_001005213.2	MANE
OR9G4	NM_001005284.2	MANE
OR9I1	NM_001005211.2	MANE
OR9K2	NM_001005243.2	MANE
OR9Q1	NM_001005212.4	MANE
OR9Q2	NM_001005283.3	MANE
ORAI1	NM_032790.3	LRG
ORAI2	NM_001126340.3	MANE
ORAI3	NM_152288.3	MANE
ORC1	NM_004153.4	MANE
ORC2	NM_006190.5	MANE
ORC3	NM_012381.4	MANE
ORC4	NM_181741.4	MANE
ORC5	NM_002553.4	MANE
ORC6	NM_014321.4	MANE
ORM1	NM_000607.4	MANE
ORM2	NM_000608.4	MANE
ORMDL1	NM_016467.5	MANE
ORMDL2	NM_014182.5	MANE
ORMDL3	NM_139280.4	MANE
OS9	NM_006812.4	MANE
OSBP	NM_002556.3	MANE
OSBP2	NM_030758.4	MANE
OSBPL10	NM_017784.5	MANE
OSBPL11	NM_022776.5	MANE
OSBPL1A	NM_080597.4	MANE
OSBPL2	NM_144498.4	MANE
OSBPL3	NM_015550.4	MANE
OSBPL5	NM_020896.4	MANE
OSBPL6	NM_032523.4	MANE
OSBPL7	NM_145798.3	MANE
OSBPL8	NM_020841.5	MANE
OSBPL9	NM_024586.6	MANE
OSCAR	NM_133169.6	MANE
OSCP1	NM_145047.5	MANE
OSER1	NM_016470.8	MANE
OSGEP	NM_017807.4	MANE
OSGEPL1	NM_022353.3	MANE
OSGIN1	NM_182981.3	MANE
OSGIN2	NM_001126111.3	MANE
OSM	NM_020530.6	MANE
OSMR	NM_003999.3	MANE
OSR1	NM_145260.3	MANE
OSR2	NM_001142462.3	MANE
OST4	NM_001134693.2	MANE
OSTC	NM_021227.4	MANE
OSTF1	NM_012383.5	MANE
OSTM1	NM_014028.4	MANE
OSTN	NM_198184.2	MANE
OTC	NM_000531.6	MANE
OTOA	NM_144672.4	MANE
OTOF	NM_194248.3	MANE
OTOG	NM_001292063.2	MANE
OTOGL	NM_001378609.3	MANE
OTOL1	NM_001080440.1	MANE
OTOP1	NM_177998.3	MANE
OTOP2	NM_178160.3	MANE
OTOP3	NM_001272005.2	MANE
OTOR	NM_020157.4	MANE
OTOS	NM_148961.4	MANE
OTP	NM_032109.3	MANE
OTUB1	NM_017670.3	MANE
OTUB2	NM_023112.4	MANE
OTUD1	NM_001145373.3	MANE
OTUD3	NM_015207.2	MANE
OTUD4	NM_001366057.1	MANE
OTUD5	NM_001136157.2	MANE
OTUD6A	NM_207320.3	MANE
OTUD6B	NM_016023.5	MANE
OTUD7A	NM_001382637.1	MANE
OTUD7B	NM_020205.4	MANE
OTULIN	NM_138348.6	MANE
OTULINL	NM_019018.3	MANE
OTX1	NM_014562.4	MANE
OTX2	NM_021728.4	MANE
OVCA2	NM_080822.3	MANE
OVCH1	NM_001353179.2	MANE
OVCH2	NM_198185.7	MANE
OVGP1	NM_002557.4	MANE
OVOL1	NM_004561.4	MANE
OVOL2	NM_021220.4	MANE
OVOL3	NM_001302757.2	MANE
OXA1L	NM_005015.5	MANE
OXCT1	NM_000436.4	MANE
OXCT2	NM_022120.2	MANE
OXER1	NM_148962.5	MANE
OXGR1	NM_001346194.2	MANE
OXLD1	NM_001039842.3	MANE
OXNAD1	NM_138381.5	MANE
OXR1	NM_001198533.2	MANE
OXSM	NM_017897.3	MANE
OXSR1	NM_005109.3	MANE
OXT	NM_000915.4	MANE
OXTR	NM_000916.4	MANE
P2RX1	NM_002558.4	MANE
P2RX2	NM_170682.4	MANE
P2RX3	NM_002559.5	MANE
P2RX4	NM_002560.3	MANE
P2RX5	NM_002561.4	MANE
P2RX6	NM_005446.5	MANE
P2RX7	NM_002562.6	MANE
P2RY1	NM_002563.5	MANE
P2RY10	NM_014499.4	MANE
P2RY11	NM_002566.5	MANE
P2RY12	NM_022788.5	MANE
P2RY13	NM_176894.3	MANE
P2RY14	NM_014879.4	MANE
P2RY2	NM_002564.4	MANE
P2RY4	NM_002565.4	MANE
P2RY6	NM_001277204.2	MANE
P2RY8	NM_178129.5	MANE
P3H1	NM_022356.4	MANE
P3H2	NM_018192.4	MANE
P3H3	NM_014262.5	MANE
P3H4	NM_006455.3	MANE
P3R3URF	NM_001328655.2	MANE
P4HA1	NM_001017962.3	MANE
P4HA2	NM_001017974.2	MANE
P4HA3	NM_182904.5	MANE
P4HB	NM_000918.4	MANE
P4HTM	NM_177939.3	MANE
PA2G4	NM_006191.3	MANE
PAAF1	NM_025155.3	MANE
PABIR1	NM_138333.5	MANE
PABIR2	NM_001387468.1	MANE
PABIR3	NM_001388447.1	MANE
PABPC1	NM_002568.4	MANE
PABPC1L	NM_001372179.1	MANE
PABPC1L2A	NM_001012977.3	MANE
PABPC1L2B	NM_001042506.2	MANE
PABPC3	NM_030979.3	MANE
PABPC4	NM_001135653.2	MANE
PABPC4L	NM_001114734.2	MANE
PABPC5	NM_080832.3	MANE
PABPN1	NM_004643.4	MANE
PABPN1L	NM_001080487.4	MANE
PACC1	NM_018252.3	MANE
PACRG	NM_001080379.2	MANE
PACRGL	NM_001258345.3	MANE
PACS1	NM_018026.4	MANE
PACS2	NM_001100913.3	MANE
PACSIN1	NM_020804.5	MANE
PACSIN2	NM_001184970.3	MANE
PACSIN3	NM_016223.5	MANE
PADI1	NM_013358.3	MANE
PADI2	NM_007365.3	MANE
PADI3	NM_016233.2	MANE
PADI4	NM_012387.3	MANE
PADI6	NM_207421.4	MANE
PAEP	NM_002571.4	MANE
PAF1	NM_019088.4	MANE
PAFAH1B1	NM_000430.4	MANE
PAFAH1B2	NM_002572.4	MANE
PAFAH1B3	NM_002573.4	MANE
PAFAH2	NM_000437.4	MANE
PAG1	NM_018440.4	MANE
PAGE1	NM_003785.4	MANE
PAGE2	NM_207339.4	MANE
PAGE2B	NM_001015038.3	MANE
PAGE3	NM_001017931.3	MANE
PAGE4	NM_007003.4	MANE
PAGE5	NM_001013435.3	MANE
PAGR1	NM_024516.4	MANE
PAH	NM_000277.3	MANE
PAICS	NM_001079524.2	MANE
PAIP1	NM_006451.5	MANE
PAIP2	NM_016480.5	MANE
PAIP2B	NM_020459.1	MANE
PAK1	NM_002576.5	MANE
PAK1IP1	NM_017906.3	MANE
PAK2	NM_002577.4	MANE
PAK3	NM_002578.5	MANE
PAK4	NM_005884.5	MANE
PAK5	NM_177990.4	MANE
PAK6	NM_001395430.1	MANE
PALB2	NM_024675.4	MANE
PALD1	NM_014431.3	MANE
PALLD	NM_001166108.2	MANE
PALM	NM_002579.3	MANE
PALM2	NM_001037293.3	HGMD
PALM2AKAP2	NM_007203.5	MANE
PALM3	NM_001145028.2	MANE
PALMD	NM_017734.5	MANE
PALS1	NM_022474.4	MANE
PALS2	NM_001303037.2	MANE
PAM	NM_001177306.2	MANE
PAM16	NM_016069.11	MANE
PAMR1	NM_001001991.3	MANE
PAN2	NM_014871.6	MANE
PAN3	NM_175854.8	MANE
PANK1	NM_148977.3	MANE
PANK2	NM_001386393.1	MANE
PANK3	NM_024594.4	MANE
PANK4	NM_018216.4	MANE
PANO1	NM_001293167	HGNC
PANX1	NM_015368.4	MANE
PANX2	NM_052839.4	MANE
PANX3	NM_052959.3	MANE
PAOX	NM_152911.4	MANE
PAPD4	NM_173797.5	HGMD
PAPD7	NM_006999.6	HGMD
PAPLN	NM_001365906.3	MANE
PAPOLA	NM_032632.5	MANE
PAPOLB	NM_020144.5	MANE
PAPOLG	NM_022894.4	MANE
PAPPA	NM_002581.5	MANE
PAPPA2	NM_020318.3	MANE
PAPSS1	NM_005443.5	MANE
PAPSS2	NM_001015880.2	MANE
PAQR3	NM_001040202.2	MANE
PAQR4	NM_152341.5	MANE
PAQR5	NM_017705.4	MANE
PAQR6	NM_198406.3	MANE
PAQR7	NM_178422.6	MANE
PAQR8	NM_133367.5	MANE
PAQR9	NM_198504.4	MANE
PARD3	NM_001184785.2	MANE
PARD3B	NM_001302769.2	MANE
PARD6A	NM_001037281.2	MANE
PARD6B	NM_032521.3	MANE
PARD6G	NM_032510.4	MANE
PARG	NM_003631.5	MANE
PARK7	NM_007262.5	MANE
PARL	NM_018622.7	MANE
PARM1	NM_015393.4	MANE
PARN	NM_002582.4	MANE
PARP1	NM_001618.4	MANE
PARP10	NM_032789.5	MANE
PARP11	NM_020367.6	MANE
PARP12	NM_022750.4	MANE
PARP14	NM_017554.3	MANE
PARP15	NM_001113523.3	MANE
PARP16	NM_001316943.2	MANE
PARP2	NM_001042618.2	MANE
PARP3	NM_001003931.4	MANE
PARP4	NM_006437.4	MANE
PARP6	NM_001323532.2	MANE
PARP8	NM_024615.4	MANE
PARP9	NM_001146105.2	MANE
PARPBP	NM_017915.5	MANE
PARS2	NM_152268.4	MANE
PARVA	NM_018222.5	MANE
PARVB	NM_013327.5	MANE
PARVG	NM_022141.7	MANE
PASD1	NM_173493.3	MANE
PASK	NM_015148.4	MANE
PATE1	NM_138294.3	MANE
PATE2	NM_212555.3	MANE
PATE3	NM_001129883.4	MANE
PATE4	NM_001144874.1	MANE
PATJ	NM_001350145.3	MANE
PATL1	NM_152716.3	MANE
PATL2	NM_001387263.1	MANE
PATZ1	NM_014323.3	MANE
PAWR	NM_002583.4	MANE
PAX1	NM_001257096.2	MANE
PAX2	NM_000278.5	MANE
PAX3	NM_181458.4	MANE
PAX4	NM_001366110.1	MANE
PAX5	NM_016734.3	MANE
PAX6	NM_001368894.2	MANE
PAX7	NM_001135254.2	MANE
PAX8	NM_003466.4	MANE
PAX9	NM_001372076.1	MANE
PAXBP1	NM_016631.4	MANE
PAXIP1	NM_007349.4	MANE
PAXX	NM_183241.3	MANE
PBDC1	NM_016500.5	MANE
PBK	NM_018492.4	MANE
PBLD	NM_022129.4	MANE
PBOV1	NM_021635.3	MANE
PBRM1	NM_018313.5	refSeq
PBX1	NM_002585.4	MANE
PBX2	NM_002586.5	MANE
PBX3	NM_006195.6	MANE
PBX4	NM_025245.3	MANE
PBXIP1	NM_020524.4	MANE
PC	NM_001040716.2	MANE
PCARE	NM_001029883.3	MANE
PCBD1	NM_000281.4	MANE
PCBD2	NM_032151.5	MANE
PCBP1	NM_006196.4	MANE
PCBP2	NM_031989.5	MANE
PCBP3	NM_001384156.1	MANE
PCBP4	NM_001174100.2	MANE
PCCA	NM_000282.4	MANE
PCCB	NM_000532.5	MANE
PCDH1	NM_032420.5	MANE
PCDH10	NM_032961.3	MANE
PCDH11X	NM_032968.5	MANE
PCDH11Y	NM_001395587.1	MANE
PCDH12	NM_016580.4	MANE
PCDH15	NM_033056.4	MANE
PCDH17	NM_001040429.3	MANE
PCDH18	NM_019035.5	MANE
PCDH19	NM_001184880.2	MANE
PCDH20	NM_022843.4	MANE
PCDH7	NM_001173523.2	MANE
PCDH8	NM_002590.4	MANE
PCDH9	NM_203487.3	MANE
PCDHA1	NM_018900.4	MANE
PCDHA10	NM_018901.4	MANE
PCDHA11	NM_018902.5	MANE
PCDHA12	NM_018903.4	MANE
PCDHA13	NM_018904.3	MANE
PCDHA2	NM_018905.3	MANE
PCDHA3	NM_018906.3	MANE
PCDHA4	NM_018907.4	MANE
PCDHA5	NM_018908.3	MANE
PCDHA6	NM_018909.4	MANE
PCDHA7	NM_018910.3	MANE
PCDHA8	NM_018911.3	MANE
PCDHA9	NM_031857.2	MANE
PCDHA@	NG_000016	HGNC
PCDHAC1	NM_018898.5	MANE
PCDHAC2	NM_018899.6	MANE
PCDHB1	NM_013340.4	MANE
PCDHB10	NM_018930.4	MANE
PCDHB11	NM_018931.3	MANE
PCDHB12	NM_018932.4	MANE
PCDHB13	NM_018933.4	MANE
PCDHB14	NM_018934.4	MANE
PCDHB15	NM_018935.4	MANE
PCDHB16	NM_020957.4	MANE
PCDHB2	NM_018936.4	MANE
PCDHB3	NM_018937.5	MANE
PCDHB4	NM_018938.4	MANE
PCDHB5	NM_015669.5	MANE
PCDHB6	NM_018939.4	MANE
PCDHB7	NM_018940.4	MANE
PCDHB8	NM_019120.5	MANE
PCDHB9	NM_019119.5	MANE
PCDHB@	NG_000017	HGNC
PCDHG@	NG_000012	HGNC
PCDHGA1	NM_018912.3	MANE
PCDHGA10	NM_018913.3	MANE
PCDHGA11	NM_018914.3	MANE
PCDHGA12	NM_003735.3	MANE
PCDHGA2	NM_018915.4	MANE
PCDHGA3	NM_018916.4	MANE
PCDHGA4	NM_018917.4	MANE
PCDHGA5	NM_018918.3	MANE
PCDHGA6	NM_018919.3	MANE
PCDHGA7	NM_018920.4	MANE
PCDHGA8	NM_032088.2	MANE
PCDHGA9	NM_018921.3	MANE
PCDHGB1	NM_018922.3	MANE
PCDHGB2	NM_018923.3	MANE
PCDHGB3	NM_018924.5	MANE
PCDHGB4	NM_003736.4	MANE
PCDHGB5	NM_018925.3	MANE
PCDHGB6	NM_018926.3	MANE
PCDHGB7	NM_018927.4	MANE
PCDHGC3	NM_002588.4	MANE
PCDHGC4	NM_018928.3	MANE
PCDHGC5	NM_018929.3	MANE
PCED1A	NM_022760.6	MANE
PCED1B	NM_138371.3	MANE
PCF11	NM_001346413.3	MANE
PCGF1	NM_032673.3	MANE
PCGF2	NM_007144.3	MANE
PCGF3	NM_006315.7	MANE
PCGF5	NM_032373.5	MANE
PCGF6	NM_001011663.2	MANE
PCID2	NM_001127202.4	MANE
PCIF1	NM_022104.4	MANE
PCK1	NM_002591.4	MANE
PCK2	NM_004563.4	MANE
PCLAF	NM_014736.6	MANE
PCLO	NM_033026.6	MANE
PCM1	NM_006197.4	MANE
PCMT1	NM_001360452.2	MANE
PCMTD1	NM_052937.4	MANE
PCMTD2	NM_018257.3	MANE
PCNA	NM_182649.2	MANE
PCNP	NM_020357.3	MANE
PCNT	NM_006031.6	MANE
